iter	RMSE
0	14.84696357
1	14.36264816
2	13.89341761
3	13.43895343
4	13.02452639
5	12.63282143
6	12.26477265
7	11.93709257
8	11.60688619
9	11.27115119
10	10.97801879
11	10.70739627
12	10.39259815
13	10.1370443
14	9.881326757
15	9.660666552
16	9.427043809
17	9.216972488
18	9.045430875
19	8.856999495
20	8.697834799
21	8.511725742
22	8.31804224
23	8.168908251
24	8.015784864
25	7.873409171
26	7.747263101
27	7.632147398
28	7.510313073
29	7.395973914
30	7.284431999
31	7.185225149
32	7.090185338
33	6.995179176
34	6.905502651
35	6.823647361
36	6.76898818
37	6.699325431
38	6.618290399
39	6.556353626
40	6.480338474
41	6.416006663
42	6.355913913
43	6.304550859
44	6.247891356
45	6.195615635
46	6.150939123
47	6.104044533
48	6.064147205
49	6.021984162
50	5.981677411
51	5.94516313
52	5.915840425
53	5.888784743
54	5.846838552
55	5.813905074
56	5.78650998
57	5.760329512
58	5.724636968
59	5.70181633
60	5.673118388
61	5.647378551
62	5.623755951
63	5.606375538
64	5.577648559
65	5.554173769
66	5.528412612
67	5.508012522
68	5.487160535
69	5.47235607
70	5.456605049
71	5.443394851
72	5.429752879
73	5.417551362
74	5.402870975
75	5.384926586
76	5.37677437
77	5.368766625
78	5.357577165
79	5.343703196
80	5.333238818
81	5.325909925
82	5.315093805
83	5.301786984
84	5.29176758
85	5.277967426
86	5.267932047
87	5.258912487
88	5.248343985
89	5.238730153
90	5.229073239
91	5.224362963
92	5.216044824
93	5.205870292
94	5.197271864
95	5.187307814
96	5.180405799
97	5.170261705
98	5.160703047
99	5.149165263
100	5.140383879
101	5.131170834
102	5.124355981
103	5.119628036
104	5.110058056
105	5.101627919
106	5.09734699
107	5.092340093
108	5.083862287
109	5.078554536
110	5.072201879
111	5.064983723
112	5.058425606
113	5.053053914
114	5.050441797
115	5.044447996
116	5.036526206
117	5.03274641
118	5.029664516
119	5.025486481
120	5.021801925
121	5.018202565
122	5.016725714
123	5.009495887
124	5.002998624
125	4.997962391
126	4.988768209
127	4.984733446
128	4.980728136
129	4.973929457
130	4.972444518
131	4.968065954
132	4.959167345
133	4.955880775
134	4.945850797
135	4.945541091
136	4.940123482
137	4.93738486
138	4.928881231
139	4.922952064
140	4.917768146
141	4.913224058
142	4.908095806
143	4.901780727
144	4.888958585
145	4.881497511
146	4.87607201
147	4.869684503
148	4.865648841
149	4.863274148
150	4.85825129
151	4.85561274
152	4.85112152
153	4.845578531
154	4.841322933
155	4.837137932
156	4.834052635
157	4.825399664
158	4.820980256
159	4.81262546
160	4.804990904
161	4.802183108
162	4.797026211
163	4.792149989
164	4.787847781
165	4.784861396
166	4.781256661
167	4.778676191
168	4.771920855
169	4.765168302
170	4.76349062
171	4.758286249
172	4.755167915
173	4.748433797
174	4.746187944
175	4.737854623
176	4.733120148
177	4.729856324
178	4.72385683
179	4.716167394
180	4.713722104
181	4.706519432
182	4.703929832
183	4.698256214
184	4.694136297
185	4.688686542
186	4.685842983
187	4.674899694
188	4.670812282
189	4.668123076
190	4.661741903
191	4.657677913
192	4.654775413
193	4.65133271
194	4.648536203
195	4.643244787
196	4.63613955
197	4.628859781
198	4.626240162
199	4.623985933
