iter	Passed	Remaining
0	1	285
1	2	254
2	3	243
3	4	234
4	5	230
5	6	225
6	8	229
7	9	230
8	10	227
9	11	221
10	12	222
11	14	220
12	15	219
13	16	217
14	17	215
15	18	213
16	19	212
17	20	211
18	22	210
19	23	211
20	24	211
21	26	211
22	27	213
23	29	213
24	30	213
25	31	213
26	33	211
27	34	209
28	35	207
29	36	206
30	37	204
31	38	202
32	39	201
33	40	199
34	41	197
35	43	196
36	43	193
37	44	191
38	46	190
39	47	188
40	48	187
41	49	185
42	50	184
43	51	182
44	52	181
45	53	179
46	54	178
47	55	177
48	57	175
49	58	174
50	59	172
51	60	171
52	61	170
53	62	168
54	63	167
55	64	166
56	65	164
57	66	163
58	68	162
59	69	161
60	70	160
61	71	159
62	72	158
63	73	156
64	74	155
65	75	154
66	77	153
67	78	151
68	79	150
69	80	149
70	81	147
71	82	146
72	83	145
73	84	144
74	85	143
75	86	141
76	87	139
77	88	138
78	89	136
79	90	135
80	91	134
81	92	133
82	93	132
83	94	130
84	95	129
85	97	128
86	98	127
87	99	126
88	100	125
89	101	123
90	102	122
91	103	121
92	104	120
93	105	118
94	106	117
95	107	116
96	108	115
97	109	114
98	110	113
99	111	111
100	113	110
101	114	109
102	115	108
103	116	107
104	117	106
105	118	105
106	119	104
107	120	102
108	121	101
109	122	100
110	123	99
111	124	98
112	126	97
113	127	95
114	128	94
115	129	93
116	130	92
117	131	91
118	132	90
119	133	89
120	134	87
121	135	86
122	136	85
123	137	84
124	138	83
125	140	82
126	141	81
127	142	80
128	143	79
129	144	77
130	145	76
131	146	75
132	148	74
133	148	73
134	150	72
135	150	70
136	151	69
137	152	68
138	153	67
139	154	66
140	156	65
141	157	64
142	158	63
143	159	61
144	160	60
145	161	59
146	162	58
147	163	57
148	165	56
149	166	55
150	167	54
151	168	53
152	169	52
153	171	51
154	172	49
155	173	48
156	174	47
157	175	46
158	176	45
159	177	44
160	178	43
161	179	42
162	181	41
163	182	39
164	183	38
165	184	37
166	185	36
167	186	35
168	187	34
169	188	33
170	189	32
171	190	31
172	191	29
173	192	28
174	193	27
175	195	26
176	196	25
177	197	24
178	198	23
179	199	22
180	200	21
181	201	19
182	202	18
183	203	17
184	204	16
185	206	15
186	207	14
187	208	13
188	209	12
189	210	11
190	211	9
191	212	8
192	213	7
193	214	6
194	215	5
195	216	4
196	218	3
197	219	2
198	220	1
199	221	0
