iter	Passed	Remaining
0	229	229381
1	233	116428
2	236	78700
3	239	59699
4	243	48388
5	246	40800
6	249	35366
7	252	31355
8	256	28205
9	259	25696
10	262	23607
11	264	21789
12	266	20247
13	268	18925
14	270	17784
15	272	16788
16	275	15913
17	277	15145
18	279	14443
19	281	13810
20	283	13234
21	285	12711
22	288	12236
23	289	11770
24	290	11340
25	292	10941
26	293	10574
27	294	10235
28	296	9929
29	297	9632
30	299	9353
31	300	9092
32	301	8849
33	303	8628
34	305	8421
35	307	8221
36	308	8029
37	310	7850
38	311	7678
39	313	7514
40	314	7359
41	316	7209
42	317	7070
43	319	6939
44	320	6811
45	322	6689
46	323	6569
47	325	6454
48	326	6343
49	328	6236
50	329	6133
51	331	6036
52	332	5945
53	334	5855
54	335	5766
55	337	5685
56	338	5604
57	340	5523
58	341	5446
59	342	5370
60	344	5296
61	345	5225
62	346	5158
63	348	5094
64	349	5029
65	351	4967
66	353	4919
67	355	4866
68	356	4813
69	358	4763
70	360	4714
71	361	4662
72	363	4612
73	364	4561
74	365	4511
75	367	4463
76	368	4419
77	370	4376
78	371	4332
79	372	4288
80	374	4245
81	375	4204
82	376	4157
83	378	4124
84	379	4088
85	381	4051
86	382	4014
87	383	3978
88	385	3943
89	386	3910
90	388	3876
91	389	3843
92	390	3811
93	392	3780
94	394	3754
95	395	3728
96	397	3703
97	399	3678
98	401	3654
99	403	3631
100	404	3604
101	406	3576
102	407	3552
103	409	3525
104	410	3499
105	412	3475
106	414	3460
107	415	3435
108	417	3411
109	418	3387
110	420	3364
111	421	3341
112	422	3320
113	424	3297
114	425	3276
115	426	3253
116	428	3230
117	429	3212
118	431	3192
119	432	3171
120	433	3152
121	435	3130
122	436	3111
123	438	3094
124	439	3075
125	440	3057
126	442	3040
127	445	3031
128	446	3016
129	448	2999
130	449	2983
131	451	2967
132	453	2958
133	455	2942
134	456	2926
135	458	2910
136	459	2894
137	462	2886
138	463	2870
139	464	2854
140	466	2839
141	467	2822
142	468	2808
143	470	2795
144	471	2781
145	473	2767
146	474	2753
147	475	2738
148	477	2724
149	478	2711
150	479	2697
151	481	2683
152	482	2671
153	483	2658
154	485	2645
155	486	2634
156	488	2621
157	489	2610
158	491	2599
159	492	2587
160	493	2573
161	495	2561
162	496	2551
163	498	2541
164	499	2530
165	502	2525
166	504	2515
167	505	2505
168	507	2495
169	509	2486
170	510	2476
171	512	2467
172	514	2457
173	515	2447
174	517	2437
175	519	2430
176	520	2421
177	522	2411
178	523	2402
179	525	2394
180	527	2388
181	529	2380
182	531	2371
183	532	2361
184	533	2352
185	535	2345
186	538	2341
187	541	2337
188	543	2331
189	544	2322
190	546	2314
191	547	2305
192	549	2297
193	551	2292
194	555	2294
195	557	2286
196	558	2278
197	561	2273
198	562	2266
199	564	2258
200	565	2249
201	567	2240
202	568	2232
203	569	2223
204	571	2215
205	572	2207
206	574	2199
207	575	2191
208	576	2183
209	578	2175
210	579	2168
211	581	2160
212	582	2152
213	583	2144
214	585	2136
215	586	2128
216	588	2121
217	589	2113
218	590	2106
219	591	2098
220	593	2091
221	595	2085
222	596	2078
223	597	2071
224	599	2063
225	600	2056
226	601	2049
227	603	2043
228	605	2038
229	606	2031
230	608	2024
231	609	2017
232	610	2010
233	611	2003
234	613	1996
235	614	1989
236	616	1983
237	617	1977
238	618	1970
239	620	1965
240	622	1959
241	623	1952
242	624	1945
243	626	1939
244	627	1933
245	628	1926
246	629	1920
247	631	1914
248	632	1908
249	634	1902
250	635	1896
251	637	1891
252	638	1885
253	640	1879
254	641	1873
255	642	1867
256	643	1861
257	645	1855
258	646	1849
259	648	1844
260	649	1839
261	650	1833
262	652	1827
263	653	1821
264	655	1817
265	656	1811
266	657	1806
267	659	1800
268	660	1794
269	661	1789
270	664	1786
271	665	1780
272	666	1775
273	668	1770
274	669	1764
275	670	1759
276	672	1754
277	673	1749
278	675	1744
279	676	1739
280	678	1735
281	679	1730
282	681	1725
283	682	1720
284	683	1715
285	685	1710
286	686	1705
287	687	1700
288	690	1699
289	692	1696
290	694	1691
291	696	1688
292	697	1684
293	699	1679
294	700	1674
295	701	1669
296	703	1664
297	704	1660
298	706	1655
299	707	1650
300	709	1646
301	710	1641
302	711	1637
303	713	1633
304	714	1628
305	716	1624
306	717	1619
307	718	1614
308	720	1610
309	721	1605
310	723	1601
311	724	1597
312	725	1592
313	727	1588
314	728	1584
315	730	1580
316	731	1576
317	732	1571
318	734	1567
319	735	1563
320	736	1558
321	738	1554
322	739	1550
323	741	1546
324	742	1541
325	743	1538
326	745	1534
327	746	1530
328	748	1526
329	749	1522
330	751	1517
331	752	1514
332	753	1510
333	755	1506
334	756	1501
335	757	1497
336	759	1493
337	760	1489
338	762	1486
339	763	1481
340	764	1477
341	766	1473
342	767	1470
343	769	1467
344	771	1464
345	772	1461
346	774	1457
347	775	1453
348	777	1449
349	778	1446
350	780	1442
351	781	1438
352	783	1435
353	784	1431
354	785	1427
355	787	1424
356	788	1420
357	790	1416
358	791	1412
359	792	1409
360	793	1405
361	795	1401
362	796	1397
363	798	1394
364	799	1390
365	800	1387
366	802	1384
367	803	1380
368	805	1376
369	806	1373
370	807	1369
371	809	1366
372	810	1362
373	812	1359
374	813	1356
375	814	1352
376	816	1348
377	817	1345
378	819	1342
379	820	1339
380	822	1335
381	823	1332
382	824	1328
383	826	1325
384	827	1322
385	829	1318
386	830	1315
387	831	1311
388	832	1308
389	834	1305
390	836	1302
391	837	1298
392	838	1295
393	840	1292
394	841	1288
395	843	1285
396	844	1282
397	845	1279
398	847	1275
399	848	1272
400	850	1270
401	851	1266
402	852	1263
403	854	1260
404	855	1256
405	856	1253
406	858	1251
407	860	1248
408	861	1245
409	862	1241
410	864	1238
411	865	1235
412	866	1232
413	868	1228
414	869	1225
415	870	1222
416	872	1219
417	873	1216
418	875	1213
419	876	1210
420	878	1207
421	879	1205
422	881	1201
423	882	1198
424	883	1195
425	885	1192
426	886	1189
427	887	1186
428	889	1183
429	890	1180
430	892	1177
431	893	1174
432	895	1172
433	896	1169
434	897	1166
435	899	1163
436	900	1160
437	901	1157
438	903	1154
439	905	1151
440	906	1148
441	907	1145
442	908	1142
443	910	1139
444	911	1137
445	913	1134
446	914	1131
447	915	1128
448	917	1125
449	918	1122
450	920	1120
451	921	1117
452	923	1114
453	924	1111
454	925	1108
455	926	1105
456	928	1103
457	930	1101
458	933	1099
459	936	1099
460	937	1096
461	939	1093
462	940	1090
463	941	1088
464	943	1085
465	944	1082
466	945	1079
467	947	1077
468	948	1074
469	950	1071
470	951	1069
471	953	1066
472	954	1063
473	955	1060
474	957	1057
475	958	1055
476	959	1052
477	961	1049
478	962	1046
479	963	1044
480	965	1041
481	966	1038
482	968	1036
483	969	1033
484	971	1031
485	972	1028
486	973	1025
487	975	1022
488	976	1020
489	977	1017
490	979	1015
491	980	1012
492	981	1009
493	983	1007
494	985	1004
495	986	1002
496	987	999
497	989	996
498	990	994
499	991	991
500	993	989
501	994	986
502	995	983
503	997	981
504	998	978
505	1000	976
506	1001	974
507	1003	971
508	1004	968
509	1005	966
510	1007	963
511	1008	961
512	1010	959
513	1011	956
514	1013	954
515	1014	951
516	1015	948
517	1017	946
518	1018	943
519	1019	941
520	1021	938
521	1022	936
522	1024	933
523	1025	931
524	1027	929
525	1028	926
526	1029	924
527	1031	922
528	1032	919
529	1034	917
530	1035	914
531	1036	912
